ID,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00003017,20190101,23.0,0.0,0.0,0.0,-155.0,-110.0,-205.0,170.0,210.0,54.0,67.0
USW00003017,20190102,40.0,0.0,0.0,0.0,-92.0,33.0,-166.0,210.0,210.0,76.0,94.0
USW00003017,20190103,43.0,0.0,0.0,0.0,1.0,133.0,-88.0,210.0,210.0,76.0,98.0
USW00003017,20190104,42.0,0.0,0.0,0.0,56.0,167.0,-10.0,210.0,220.0,72.0,89.0
USW00003017,20190105,34.0,0.0,0.0,0.0,67.0,156.0,6.0,220.0,220.0,76.0,103.0
USW00003017,20190106,42.0,0.0,0.0,0.0,57.0,144.0,-10.0,280.0,270.0,107.0,148.0
USW00003017,20190107,67.0,0.0,0.0,0.0,46.0,111.0,-88.0,290.0,290.0,179.0,241.0
USW00003017,20190108,49.0,0.0,0.0,0.0,19.0,100.0,-55.0,140.0,140.0,103.0,130.0
USW00003017,20190109,22.0,0.0,0.0,0.0,6.0,100.0,-49.0,230.0,230.0,54.0,58.0
USW00003017,20190110,36.0,0.0,0.0,0.0,48.0,161.0,-21.0,210.0,210.0,72.0,98.0
USW00003017,20190111,51.0,114.0,25.0,0.0,31.0,67.0,0.0,360.0,10.0,89.0,116.0
USW00003017,20190112,30.0,8.0,8.0,30.0,2.0,17.0,-82.0,350.0,350.0,76.0,98.0
USW00003017,20190113,34.0,0.0,0.0,0.0,-37.0,17.0,-82.0,180.0,170.0,63.0,67.0
USW00003017,20190114,52.0,0.0,0.0,0.0,-21.0,61.0,-66.0,220.0,220.0,76.0,98.0
USW00003017,20190115,49.0,0.0,0.0,0.0,-1.0,78.0,-60.0,210.0,220.0,76.0,116.0
USW00003017,20190116,34.0,0.0,0.0,0.0,14.0,78.0,-16.0,220.0,220.0,72.0,85.0
USW00003017,20190117,49.0,0.0,0.0,0.0,46.0,122.0,0.0,190.0,190.0,98.0,125.0
USW00003017,20190118,47.0,20.0,8.0,0.0,26.0,50.0,-49.0,350.0,360.0,143.0,192.0
USW00003017,20190119,38.0,0.0,0.0,0.0,-2.0,89.0,-55.0,210.0,210.0,67.0,81.0
USW00003017,20190120,50.0,0.0,0.0,0.0,52.0,128.0,6.0,50.0,50.0,94.0,116.0
USW00003017,20190121,50.0,0.0,5.0,0.0,39.0,144.0,-55.0,10.0,20.0,170.0,241.0
USW00003017,20190122,85.0,3.0,28.0,0.0,-27.0,-10.0,-105.0,350.0,350.0,170.0,241.0
USW00003017,20190123,47.0,0.0,0.0,0.0,-36.0,50.0,-88.0,80.0,270.0,81.0,107.0
USW00003017,20190124,45.0,28.0,25.0,0.0,-39.0,-16.0,-110.0,20.0,10.0,107.0,139.0
USW00003017,20190125,42.0,0.0,0.0,30.0,-72.0,0.0,-132.0,170.0,120.0,67.0,85.0
USW00003017,20190126,42.0,0.0,0.0,0.0,-22.0,56.0,-71.0,210.0,210.0,81.0,98.0
USW00003017,20190127,62.0,0.0,0.0,0.0,26.0,100.0,-21.0,50.0,270.0,116.0,157.0
USW00003017,20190128,58.0,18.0,58.0,30.0,-7.0,-5.0,-138.0,20.0,40.0,139.0,174.0
USW00003017,20190129,33.0,0.0,0.0,30.0,-93.0,-27.0,-138.0,220.0,220.0,72.0,89.0
USW00003017,20190130,42.0,0.0,0.0,0.0,-47.0,89.0,-127.0,300.0,300.0,72.0,112.0
USW00003017,20190131,43.0,0.0,0.0,0.0,17.0,89.0,-60.0,130.0,160.0,81.0,103.0
USW00003017,20190201,45.0,0.0,0.0,0.0,33.0,122.0,-21.0,150.0,230.0,67.0,85.0
USW00003017,20190202,43.0,0.0,0.0,0.0,56.0,156.0,11.0,220.0,210.0,76.0,98.0
USW00003017,20190203,55.0,0.0,0.0,0.0,86.0,183.0,28.0,300.0,310.0,139.0,188.0
USW00003017,20190204,53.0,0.0,0.0,0.0,62.0,139.0,-60.0,160.0,150.0,139.0,179.0
USW00003017,20190205,26.0,0.0,0.0,0.0,-23.0,94.0,-77.0,100.0,100.0,76.0,89.0
USW00003017,20190206,48.0,36.0,79.0,0.0,-60.0,-43.0,-193.0,60.0,60.0,81.0,103.0
